Date,weighted_score_mean,weighted_score_std,weighted_score_min,weighted_score_max,weighted_score_sum,composite_score_mean,composite_score_std,confidence_mean,confidence_min,importance_sum,bullish_signal_sum,bearish_signal_sum,finbert_score_mean,vader_score_mean,keyword_score_mean,Headlines_count,net_sentiment,sentiment_intensity,news_volume,sentiment_range
2023-11-16,0.0836,0.2291,-0.0556,0.348,0.2508,0.0836,0.2291,0.9241,0.882,3.0,1,0,-0.0503,0.0437,0.3333,3,1,0.0836,3,0.40359999999999996
2023-11-17,-0.1472,0.3156,-0.5259,0.1717,-0.5886,-0.1472,0.3156,0.9281,0.9082,4.0,1,2,-0.4497,0.3884,0.0,4,-1,0.1472,4,0.6976
2023-11-20,-0.0488,0.0295,-0.0696,-0.028,-0.0976,-0.0488,0.0295,0.5556,0.5012,2.0,0,0,-0.447,0.7664,0.0714,2,0,0.0488,2,0.0416
2023-11-21,-0.1104,0.2475,-0.2533,0.1753,-0.3312,-0.1104,0.2475,0.8933,0.8265,3.0,1,2,-0.5657,0.8622,0.0,3,-1,0.1104,3,0.42860000000000004
2023-11-22,0.0987,0.2361,-0.0773,0.4468,0.3949,0.0987,0.2361,0.7989,0.4961,4.0,1,0,-0.0814,0.2684,0.2857,4,1,0.0987,4,0.5241
2023-11-23,-0.0265,0.1426,-0.1308,0.1359,-0.0796,-0.0265,0.1426,0.9642,0.9561,3.0,0,0,-0.0025,-0.6264,0.3333,3,0,0.0265,3,0.2667
2023-11-24,0.0079,0.153,-0.1688,0.0994,0.0236,0.0079,0.153,0.8951,0.8038,3.0,0,1,-0.0429,-0.8535,0.6667,3,-1,0.0079,3,0.2682
2023-11-27,0.0745,0.6263,-0.3683,0.5174,0.149,0.0745,0.6263,0.8664,0.8554,2.0,1,1,0.0376,0.2787,0.0,2,0,0.0745,2,0.8856999999999999
2023-11-28,-0.4026,0.114,-0.5285,-0.2891,-1.6105,-0.4026,0.114,0.8604,0.7215,4.0,0,4,-0.8082,-0.0048,0.0081,4,-4,0.4026,4,0.23939999999999995
2023-11-29,0.0299,0.2813,-0.3338,0.3359,0.1197,0.0299,0.2813,0.904,0.8317,4.0,1,1,-0.0111,0.2583,-0.0539,4,0,0.0299,4,0.6697
2023-11-30,0.0182,0.104,-0.0623,0.1356,0.0545,0.0182,0.104,0.8151,0.7908,3.0,0,0,-0.4734,0.2742,0.6667,3,0,0.0182,3,0.1979
2023-12-01,-0.2022,0.2914,-0.521,0.0503,-0.6065,-0.2022,0.2914,0.8684,0.667,3.0,0,1,-0.212,0.0192,-0.3333,3,-1,0.2022,3,0.5713
2023-12-04,-0.1374,0.3317,-0.438,0.366,-0.8243,-0.1374,0.3317,0.8168,0.4627,6.0,1,3,-0.3247,-0.1252,0.1667,6,-2,0.1374,6,0.804
2023-12-05,-0.0554,0.2323,-0.2688,0.192,-0.1663,-0.0554,0.2323,0.9136,0.8086,3.0,1,1,-0.0162,0.2633,-0.3333,3,0,0.0554,3,0.4608
2023-12-06,0.0909,0.3749,-0.4382,0.4591,0.6365,0.0909,0.3749,0.8783,0.6524,7.0,4,3,0.1817,0.0004,0.0,7,1,0.0909,7,0.8973
2023-12-07,0.1855,0.2471,-0.05,0.4428,0.5564,0.1855,0.2471,0.9062,0.8624,3.0,2,0,0.2531,0.2945,0.0,3,2,0.1855,3,0.4928
2023-12-08,-0.2032,0.2983,-0.5659,0.1116,-1.0162,-0.2032,0.2983,0.8569,0.6085,5.0,0,2,-0.2941,-0.2808,0.0,5,-2,0.2032,5,0.6775
